iter	Passed	Remaining
442	1246	1567
443	1248	1563
444	1250	1559
445	1253	1556
446	1256	1553
447	1259	1552
448	1262	1549
449	1265	1546
450	1268	1543
451	1271	1541
452	1277	1542
453	1279	1539
454	1282	1535
455	1284	1532
456	1286	1528
457	1289	1525
458	1292	1522
459	1294	1519
460	1296	1516
461	1298	1512
462	1301	1509
463	1303	1506
464	1306	1502
465	1308	1499
466	1310	1495
467	1312	1491
468	1314	1488
469	1316	1484
470	1318	1481
471	1321	1477
472	1323	1474
473	1325	1471
474	1327	1467
475	1329	1463
476	1331	1459
477	1334	1456
478	1336	1453
479	1338	1450
480	1340	1446
481	1342	1442
482	1344	1439
483	1346	1435
484	1349	1432
485	1352	1430
486	1354	1426
487	1356	1423
488	1358	1419
489	1360	1416
490	1363	1413
491	1366	1410
492	1368	1407
493	1370	1403
494	1372	1400
495	1374	1397
496	1377	1393
497	1380	1391
498	1382	1388
499	1385	1385
500	1387	1381
501	1389	1378
502	1391	1374
503	1395	1373
504	1397	1370
505	1400	1366
506	1402	1363
507	1404	1360
508	1407	1357
509	1409	1354
510	1412	1351
511	1414	1348
512	1416	1344
513	1418	1341
514	1420	1338
515	1423	1335
516	1426	1332
517	1428	1329
518	1430	1326
519	1433	1322
520	1435	1319
521	1439	1318
522	1441	1314
523	1443	1311
524	1445	1308
525	1447	1304
526	1450	1301
527	1453	1299
528	1455	1296
529	1458	1293
530	1460	1289
531	1463	1287
532	1466	1284
533	1468	1281
534	1471	1278
535	1473	1275
536	1475	1272
537	1477	1268
538	1479	1265
539	1482	1262
540	1484	1259
541	1486	1256
542	1488	1252
543	1490	1249
544	1493	1246
545	1495	1243
546	1498	1240
547	1500	1237
548	1502	1234
549	1505	1231
550	1507	1228
551	1510	1225
552	1512	1222
553	1514	1219
554	1516	1216
555	1518	1212
556	1521	1209
557	1523	1206
558	1525	1203
559	1528	1200
560	1530	1197
561	1532	1194
562	1534	1191
563	1537	1188
564	1539	1185
565	1541	1182
566	1544	1179
567	1546	1176
568	1548	1173
569	1550	1169
570	1552	1166
571	1556	1164
572	1558	1161
573	1560	1158
574	1563	1155
575	1565	1152
576	1567	1148
577	1569	1145
578	1572	1143
579	1574	1140
580	1576	1136
581	1578	1133
582	1581	1130
583	1583	1127
584	1585	1124
585	1588	1122
586	1590	1118
587	1592	1115
588	1594	1112
589	1596	1109
590	1599	1106
591	1602	1104
592	1604	1101
593	1606	1097
594	1608	1094
595	1610	1091
596	1613	1088
597	1615	1086
598	1617	1083
599	1619	1079
600	1621	1076
601	1623	1073
602	1626	1070
603	1631	1069
604	1634	1066
605	1636	1063
606	1638	1060
607	1640	1057
608	1642	1054
609	1645	1051
610	1647	1048
611	1649	1045
612	1651	1042
613	1654	1039
614	1656	1037
615	1660	1035
616	1662	1031
617	1664	1028
618	1666	1025
619	1668	1022
620	1671	1020
621	1674	1017
622	1677	1014
623	1679	1012
624	1681	1008
625	1683	1006
626	1685	1002
627	1688	1000
628	1690	997
629	1692	994
630	1694	991
631	1697	988
632	1699	985
633	1701	982
634	1704	979
635	1706	976
636	1708	973
637	1710	970
638	1712	967
639	1714	964
640	1717	961
641	1720	959
642	1722	956
643	1724	953
644	1726	950
645	1728	947
646	1730	944
647	1733	941
648	1735	938
649	1737	935
650	1739	932
651	1742	929
652	1744	926
653	1746	924
654	1748	921
655	1750	918
656	1753	915
657	1755	912
658	1757	909
659	1759	906
660	1761	903
661	1764	900
662	1766	897
663	1768	895
664	1770	892
665	1772	889
666	1774	886
667	1777	883
668	1779	880
669	1781	877
670	1783	874
671	1785	871
672	1787	868
673	1789	865
674	1791	862
675	1794	859
676	1796	856
677	1798	854
678	1800	851
679	1802	848
680	1804	845
681	1807	842
682	1809	840
683	1811	837
684	1813	834
685	1815	831
686	1817	828
687	1820	825
688	1822	822
689	1824	819
690	1826	816
691	1829	814
692	1831	811
693	1833	808
694	1836	805
695	1838	803
696	1840	800
697	1842	797
698	1845	794
699	1847	791
700	1850	789
701	1852	786
702	1854	783
703	1856	780
704	1858	777
705	1860	774
706	1862	771
707	1865	769
708	1867	766
709	1869	763
710	1871	760
711	1873	757
712	1875	755
713	1878	752
714	1881	749
715	1883	747
716	1885	744
717	1887	741
718	1889	738
719	1891	735
720	1893	732
721	1896	730
722	1898	727
723	1900	724
724	1902	721
725	1905	719
726	1907	716
727	1909	713
728	1912	710
729	1914	707
